sic,office,industry
7373,Technology,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
7374,Technology,SERVICES-COMPUTER PROCESSING & DATA PREPARATION
7377,Trade & Services,SERVICES-COMPUTER RENTAL & LEASING
7380,Trade & Services,SERVICES-MISCELLANEOUS BUSINESS SERVICES
7381,Trade & Services,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES"
7384,Trade & Services,SERVICES-PHOTOFINISHING LABORATORIES
7385,Trade & Services,SERVICES-TELEPHONE INTERCONNECT SYSTEMS
7389,Trade & Services,"SERVICES-BUSINESS SERVICES, NEC"
7500,Trade & Services,"SERVICES-AUTOMOTIVE REPAIR, SERVICES & PARKING"
7510,Trade & Services,SERVICES-AUTO RENTAL & LEASING (NO DRIVERS)
7600,Trade & Services,SERVICES-MISCELLANEOUS REPAIR SERVICES
7812,Trade & Services,SERVICES-MOTION PICTURE & VIDEO TAPE PRODUCTION
7819,Trade & Services,SERVICES-ALLIED TO MOTION PICTURE PRODUCTION
7822,Trade & Services,SERVICES-MOTION PICTURE & VIDEO TAPE DISTRIBUTION
7829,Trade & Services,SERVICES-ALLIED TO MOTION PICTURE DISTRIBUTION
7830,Trade & Services,SERVICES-MOTION PICTURE THEATERS
7841,Trade & Services,SERVICES-VIDEO TAPE RENTAL
7900,Trade & Services,SERVICES-AMUSEMENT & RECREATION SERVICES
7948,Trade & Services,"SERVICES-RACING, INCLUDING TRACK OPERATION"
7990,Trade & Services,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION
7997,Trade & Services,SERVICES-MEMBERSHIP SPORTS & RECREATION CLUBS
8000,Life Sciences,SERVICES-HEALTH SERVICES
8011,Life Sciences,SERVICES-OFFICES & CLINICS OF DOCTORS OF MEDICINE
8050,Life Sciences,SERVICES-NURSING & PERSONAL CARE FACILITIES
8051,Life Sciences,SERVICES-SKILLED NURSING CARE FACILITIES
8060,Life Sciences,SERVICES-HOSPITALS
8062,Life Sciences,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC"
8071,Life Sciences,SERVICES-MEDICAL LABORATORIES
8082,Life Sciences,SERVICES-HOME HEALTH CARE SERVICES
8090,Life Sciences,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC"
8093,Life Sciences,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC"
8111,Trade & Services,SERVICES-LEGAL SERVICES
8200,Trade & Services,SERVICES-EDUCATIONAL SERVICES
8300,Trade & Services,SERVICES-SOCIAL SERVICES
8351,Trade & Services,SERVICES-CHILD DAY CARE SERVICES
8600,Trade & Services,SERVICES-MEMBERSHIP ORGANIZATIONS
8700,Trade & Services,"SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT"
8711,Trade & Services,SERVICES-ENGINEERING SERVICES
8731,Trade & Services,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH
8734,Trade & Services,SERVICES-TESTING LABORATORIES
8741,Trade & Services,SERVICES-MANAGEMENT SERVICES
8742,Trade & Services,SERVICES-MANAGEMENT CONSULTING SERVICES
8744,Trade & Services,SERVICES-FACILITIES SUPPORT MANAGEMENT SERVICES
8880,International Corp Fin,AMERICAN DEPOSITARY RECEIPTS
8888,International Corp Fin,FOREIGN GOVERNMENTS
8900,Trade & Services,"SERVICES-SERVICES, NEC"
9721,International Corp Fin,INTERNATIONAL AFFAIRS
9995,Real Estate & Construction,NON-OPERATING ESTABLISHMENTS
