sic,office,industry
2844,Life Sciences,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS"
2851,Life Sciences,"PAINTS, VARNISHES, LACQUERS, ENAMELS & ALLIED PRODS"
2860,Life Sciences,INDUSTRIAL ORGANIC CHEMICALS
2870,Life Sciences,AGRICULTURAL CHEMICALS
2890,Life Sciences,MISCELLANEOUS CHEMICAL PRODUCTS
2891,Life Sciences,ADHESIVES & SEALANTS
2911,Energy & Transportation,PETROLEUM REFINING
2950,Energy & Transportation,ASPHALT PAVING & ROOFING MATERIALS
2990,Energy & Transportation,MISCELLANEOUS PRODUCTS OF PETROLEUM & COAL
3011,Manufacturing,TIRES & INNER TUBES
3021,Manufacturing,RUBBER & PLASTICS FOOTWEAR
3050,Manufacturing,"GASKETS, PACKG & SEALG DEVICES & RUBBER & PLASTICS HOSE"
3060,Manufacturing,"FABRICATED RUBBER PRODUCTS, NEC"
3080,Manufacturing,MISCELLANEOUS PLASTICS PRODUCTS
3081,Manufacturing,UNSUPPORTED PLASTICS FILM & SHEET
3086,Manufacturing,PLASTICS FOAM PRODUCTS
3089,Manufacturing,"PLASTICS PRODUCTS, NEC"
3100,Manufacturing,LEATHER & LEATHER PRODUCTS
3140,Manufacturing,"FOOTWEAR, (NO RUBBER)"
3211,Manufacturing,FLAT GLASS
3220,Manufacturing,"GLASS & GLASSWARE, PRESSED OR BLOWN"
3221,Manufacturing,GLASS CONTAINERS
3231,Manufacturing,"GLASS PRODUCTS, MADE OF PURCHASED GLASS"
3241,Manufacturing,"CEMENT, HYDRAULIC"
3250,Manufacturing,STRUCTURAL CLAY PRODUCTS
3260,Manufacturing,POTTERY & RELATED PRODUCTS
3270,Manufacturing,"CONCRETE, GYPSUM & PLASTER PRODUCTS"
3272,Manufacturing,"CONCRETE PRODUCTS, EXCEPT BLOCK & BRICK"
3281,Manufacturing,CUT STONE & STONE PRODUCTS
3290,Manufacturing,"ABRASIVE, ASBESTOS & MISC NONMETALLIC MINERAL PRODS"
3310,Manufacturing,"STEEL WORKS, BLAST FURNACES & ROLLING & FINISHING MILLS"
3312,Manufacturing,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)"
3317,Manufacturing,STEEL PIPE & TUBES
3320,Manufacturing,IRON & STEEL FOUNDRIES
3330,Manufacturing,PRIMARY SMELTING & REFINING OF NONFERROUS METALS
3334,Manufacturing,PRIMARY PRODUCTION OF ALUMINUM
3341,Manufacturing,SECONDARY SMELTING & REFINING OF NONFERROUS METALS
3350,Manufacturing,ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS
3357,Manufacturing,DRAWING & INSULATING OF NONFERROUS WIRE
3360,Manufacturing,NONFERROUS FOUNDRIES (CASTINGS)
3390,Manufacturing,MISCELLANEOUS PRIMARY METAL PRODUCTS
3411,Manufacturing,METAL CANS
3412,Manufacturing,"METAL SHIPPING BARRELS, DRUMS, KEGS & PAILS"
3420,Manufacturing,"CUTLERY, HANDTOOLS & GENERAL HARDWARE"
3430,Manufacturing,"HEATING EQUIP, EXCEPT ELEC & WARM AIR; & PLUMBING FIXTURES"
3433,Manufacturing,"HEATING EQUIPMENT, EXCEPT ELECTRIC & WARM AIR FURNACES"
3440,Manufacturing,FABRICATED STRUCTURAL METAL PRODUCTS
3442,Manufacturing,"METAL DOORS, SASH, FRAMES, MOLDINGS & TRIM"
3443,Manufacturing,FABRICATED PLATE WORK (BOILER SHOPS)
3444,Manufacturing,SHEET METAL WORK
3448,Manufacturing,PREFABRICATED METAL BUILDINGS & COMPONENTS
3451,Manufacturing,SCREW MACHINE PRODUCTS
3452,Manufacturing,"BOLTS, NUTS, SCREWS, RIVETS & WASHERS"
3460,Manufacturing,METAL FORGINGS & STAMPINGS
3470,Manufacturing,"COATING, ENGRAVING & ALLIED SERVICES"
3480,Manufacturing,"ORDNANCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES)"
3490,Manufacturing,MISCELLANEOUS FABRICATED METAL PRODUCTS
3510,Technology,ENGINES & TURBINES
3523,Technology,FARM MACHINERY & EQUIPMENT
3524,Technology,LAWN & GARDEN TRACTORS & HOME LAWN & GARDENS EQUIP
3530,Technology,"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP"
3531,Technology,CONSTRUCTION MACHINERY & EQUIP
3532,Technology,MINING MACHINERY & EQUIP (NO OIL & GAS FIELD MACH & EQUIP)
3533,Technology,OIL & GAS FIELD MACHINERY & EQUIPMENT
3537,Technology,"INDUSTRIAL TRUCKS, TRACTORS, TRAILORS & STACKERS"
3540,Technology,METALWORKG MACHINERY & EQUIPMENT
3541,Technology,"MACHINE TOOLS, METAL CUTTING TYPES"
3550,Technology,SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY)
3555,Technology,PRINTING TRADES MACHINERY & EQUIPMENT
3559,Technology,"SPECIAL INDUSTRY MACHINERY, NEC"
3560,Technology,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT
3561,Technology,PUMPS & PUMPING EQUIPMENT
3562,Technology,BALL & ROLLER BEARINGS
3564,Technology,INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFING EQUIP
3567,Technology,INDUSTRIAL PROCESS FURNACES & OVENS
3569,Technology,"GENERAL INDUSTRIAL MACHINERY & EQUIPMENT, NEC"
3570,Technology,COMPUTER & OFFICE EQUIPMENT
3571,Technology,ELECTRONIC COMPUTERS
3572,Technology,COMPUTER STORAGE DEVICES
3575,Technology,COMPUTER TERMINALS
3576,Technology,COMPUTER COMMUNICATIONS EQUIPMENT
3577,Technology,"COMPUTER PERIPHERAL EQUIPMENT, NEC"
3578,Technology,CALCULATING & ACCOUNTING MACHINES (NO ELECTRONIC COMPUTERS)
3579,Technology,"OFFICE MACHINES, NEC"
3580,Technology,REFRIGERATION & SERVICE INDUSTRY MACHINERY
3585,Technology,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP
3590,Technology,MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT
3600,Manufacturing,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP)
3612,Manufacturing,"POWER, DISTRIBUTION & SPECIALTY TRANSFORMERS"
3613,Manufacturing,SWITCHGEAR & SWITCHBOARD APPARATUS
3620,Manufacturing,ELECTRICAL INDUSTRIAL APPARATUS
3621,Manufacturing,MOTORS & GENERATORS
3630,Manufacturing,HOUSEHOLD APPLIANCES
3634,Manufacturing,ELECTRIC HOUSEWARES & FANS
3640,Manufacturing,ELECTRIC LIGHTING & WIRING EQUIPMENT
3651,Manufacturing,HOUSEHOLD AUDIO & VIDEO EQUIPMENT
3652,Manufacturing,PHONOGRAPH RECORDS & PRERECORDED AUDIO TAPES & DISKS
3661,Manufacturing,TELEPHONE & TELEGRAPH APPARATUS
